track,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc
bow,0.5371200797209765,0.5318697423013969,0.6516007532956686,0.5531574740207834,0.598357111975789,0.532296913791718
embeddings,0.5480817140009965,0.550345437935366,0.6702970297029703,0.5411670663469225,0.5988500663423264,0.5691066194663317
