track,fpr,tpr
bow,0.0,0.0
bow,0.0,0.0007993605115907274
bow,0.0013227513227513227,0.0007993605115907274
bow,0.0013227513227513227,0.002398081534772182
bow,0.0026455026455026454,0.002398081534772182
bow,0.0026455026455026454,0.003996802557953637
bow,0.005291005291005291,0.003996802557953637
bow,0.005291005291005291,0.004796163069544364
bow,0.006613756613756613,0.004796163069544364
bow,0.006613756613756613,0.007993605115907274
bow,0.007936507936507936,0.007993605115907274
bow,0.007936507936507936,0.011990407673860911
bow,0.009259259259259259,0.011990407673860911
bow,0.009259259259259259,0.013589128697042365
bow,0.011904761904761904,0.013589128697042365
bow,0.011904761904761904,0.015187849720223821
bow,0.017195767195767195,0.015187849720223821
bow,0.017195767195767195,0.01598721023181455
bow,0.01984126984126984,0.01598721023181455
bow,0.01984126984126984,0.016786570743405275
bow,0.021164021164021163,0.016786570743405275
bow,0.021164021164021163,0.017585931254996003
bow,0.02513227513227513,0.017585931254996003
bow,0.02513227513227513,0.01838529176658673
bow,0.0291005291005291,0.01838529176658673
bow,0.0291005291005291,0.023980815347721823
bow,0.03042328042328042,0.023980815347721823
bow,0.03042328042328042,0.02478017585931255
bow,0.03306878306878307,0.02478017585931255
bow,0.03306878306878307,0.027977617905675458
bow,0.03571428571428571,0.027977617905675458
bow,0.03571428571428571,0.02877697841726619
bow,0.037037037037037035,0.02877697841726619
bow,0.037037037037037035,0.029576338928856916
bow,0.03835978835978836,0.029576338928856916
bow,0.03835978835978836,0.030375699440447643
bow,0.03968253968253968,0.030375699440447643
bow,0.03968253968253968,0.032773780975219824
bow,0.042328042328042326,0.032773780975219824
bow,0.042328042328042326,0.03357314148681055
bow,0.04365079365079365,0.03357314148681055
bow,0.04365079365079365,0.03437250199840128
bow,0.04497354497354497,0.03437250199840128
bow,0.04497354497354497,0.03597122302158273
bow,0.046296296296296294,0.03597122302158273
bow,0.046296296296296294,0.03836930455635491
bow,0.047619047619047616,0.03836930455635491
bow,0.047619047619047616,0.03916866506794564
bow,0.051587301587301584,0.03916866506794564
bow,0.051587301587301584,0.0407673860911271
bow,0.05555555555555555,0.0407673860911271
bow,0.05555555555555555,0.042366107114308556
bow,0.056878306878306875,0.042366107114308556
bow,0.056878306878306875,0.050359712230215826
bow,0.06084656084656084,0.050359712230215826
bow,0.06084656084656084,0.05195843325339728
bow,0.062169312169312166,0.05195843325339728
bow,0.062169312169312166,0.05675459632294165
bow,0.06481481481481481,0.05675459632294165
bow,0.06481481481481481,0.06235011990407674
bow,0.06746031746031746,0.06235011990407674
bow,0.06746031746031746,0.06314948041566747
bow,0.06878306878306878,0.06314948041566747
bow,0.06878306878306878,0.06554756195043965
bow,0.07142857142857142,0.06554756195043965
bow,0.07142857142857142,0.07434052757793765
bow,0.07275132275132275,0.07434052757793765
bow,0.07275132275132275,0.07753796962430055
bow,0.07539682539682539,0.07753796962430055
bow,0.07539682539682539,0.07913669064748201
bow,0.07671957671957672,0.07913669064748201
bow,0.07671957671957672,0.08313349320543566
bow,0.07804232804232804,0.08313349320543566
bow,0.07804232804232804,0.08473221422861711
bow,0.07936507936507936,0.08473221422861711
bow,0.07936507936507936,0.08553157474020784
bow,0.08068783068783068,0.08553157474020784
bow,0.08068783068783068,0.08633093525179857
bow,0.082010582010582,0.08633093525179857
bow,0.082010582010582,0.08713029576338929
bow,0.08333333333333333,0.08713029576338929
bow,0.08333333333333333,0.09192645883293366
bow,0.08597883597883597,0.09192645883293366
bow,0.08597883597883597,0.09432454036770584
bow,0.0873015873015873,0.09432454036770584
bow,0.0873015873015873,0.09672262190247802
bow,0.08994708994708994,0.09672262190247802
bow,0.08994708994708994,0.09752198241406874
bow,0.09126984126984126,0.09752198241406874
bow,0.09126984126984126,0.0991207034372502
bow,0.09391534391534391,0.0991207034372502
bow,0.09391534391534391,0.10231814548361311
bow,0.09523809523809523,0.10231814548361311
bow,0.09523809523809523,0.10711430855315747
bow,0.09656084656084656,0.10711430855315747
bow,0.09656084656084656,0.10951239008792965
bow,0.09788359788359788,0.10951239008792965
bow,0.09788359788359788,0.11270983213429256
bow,0.0992063492063492,0.11270983213429256
bow,0.0992063492063492,0.11510791366906475
bow,0.10052910052910052,0.11510791366906475
bow,0.10052910052910052,0.11590727418065548
bow,0.10185185185185185,0.11590727418065548
bow,0.10185185185185185,0.11670663469224621
bow,0.10317460317460317,0.11670663469224621
bow,0.10317460317460317,0.11910471622701839
bow,0.10449735449735449,0.11910471622701839
bow,0.10449735449735449,0.1223021582733813
bow,0.10582010582010581,0.1223021582733813
bow,0.10582010582010581,0.12390087929656275
bow,0.10714285714285714,0.12390087929656275
bow,0.10714285714285714,0.12470023980815348
bow,0.10846560846560846,0.12470023980815348
bow,0.10846560846560846,0.1254996003197442
bow,0.10978835978835978,0.1254996003197442
bow,0.10978835978835978,0.12629896083133493
bow,0.11243386243386243,0.12629896083133493
bow,0.11243386243386243,0.12709832134292565
bow,0.11507936507936507,0.12709832134292565
bow,0.11507936507936507,0.1286970423661071
bow,0.1164021164021164,0.1286970423661071
bow,0.1164021164021164,0.13189448441247004
bow,0.11772486772486772,0.13189448441247004
bow,0.11772486772486772,0.1366906474820144
bow,0.11904761904761904,0.1366906474820144
bow,0.11904761904761904,0.1374900079936051
bow,0.12037037037037036,0.1374900079936051
bow,0.12037037037037036,0.1398880895283773
bow,0.12169312169312169,0.1398880895283773
bow,0.12169312169312169,0.14068745003996802
bow,0.12301587301587301,0.14068745003996802
bow,0.12301587301587301,0.1574740207833733
bow,0.1283068783068783,0.1574740207833733
bow,0.1283068783068783,0.15827338129496402
bow,0.12962962962962962,0.15827338129496402
bow,0.12962962962962962,0.15907274180655476
bow,0.13095238095238096,0.15907274180655476
bow,0.13095238095238096,0.15987210231814547
bow,0.1335978835978836,0.15987210231814547
bow,0.1335978835978836,0.1606714628297362
bow,0.1349206349206349,0.1606714628297362
bow,0.1349206349206349,0.16386890487609912
bow,0.13756613756613756,0.16386890487609912
bow,0.13756613756613756,0.16706634692246203
bow,0.1388888888888889,0.16706634692246203
bow,0.1388888888888889,0.16946442845723422
bow,0.14153439153439154,0.16946442845723422
bow,0.14153439153439154,0.17106314948041568
bow,0.14417989417989419,0.17106314948041568
bow,0.14417989417989419,0.1718625099920064
bow,0.1455026455026455,0.1718625099920064
bow,0.1455026455026455,0.17426059152677859
bow,0.14682539682539683,0.17426059152677859
bow,0.14682539682539683,0.17585931254996004
bow,0.14814814814814814,0.17585931254996004
bow,0.14814814814814814,0.17665867306155075
bow,0.14947089947089948,0.17665867306155075
bow,0.14947089947089948,0.1774580335731415
bow,0.15079365079365079,0.1774580335731415
bow,0.15079365079365079,0.1782573940847322
bow,0.15476190476190477,0.1782573940847322
bow,0.15476190476190477,0.17905675459632295
bow,0.15608465608465608,0.17905675459632295
bow,0.15608465608465608,0.17985611510791366
bow,0.1574074074074074,0.17985611510791366
bow,0.1574074074074074,0.18225419664268586
bow,0.1626984126984127,0.18225419664268586
bow,0.1626984126984127,0.1838529176658673
bow,0.164021164021164,0.1838529176658673
bow,0.164021164021164,0.18864908073541167
bow,0.16534391534391535,0.18864908073541167
bow,0.16534391534391535,0.18944844124700239
bow,0.167989417989418,0.18944844124700239
bow,0.167989417989418,0.19184652278177458
bow,0.1693121693121693,0.19184652278177458
bow,0.1693121693121693,0.19664268585131894
bow,0.17063492063492064,0.19664268585131894
bow,0.17063492063492064,0.2006394884092726
bow,0.17328042328042328,0.2006394884092726
bow,0.17328042328042328,0.2014388489208633
bow,0.1746031746031746,0.2014388489208633
bow,0.1746031746031746,0.20223820943245405
bow,0.17592592592592593,0.20223820943245405
bow,0.17592592592592593,0.2038369304556355
bow,0.17724867724867724,0.2038369304556355
bow,0.17724867724867724,0.20623501199040767
bow,0.17989417989417988,0.20623501199040767
bow,0.17989417989417988,0.21023181454836132
bow,0.18386243386243387,0.21023181454836132
bow,0.18386243386243387,0.21183053557154277
bow,0.18518518518518517,0.21183053557154277
bow,0.18518518518518517,0.21262989608313348
bow,0.1865079365079365,0.21262989608313348
bow,0.1865079365079365,0.21422861710631494
bow,0.1917989417989418,0.21422861710631494
bow,0.1917989417989418,0.21502797761790568
bow,0.1931216931216931,0.21502797761790568
bow,0.1931216931216931,0.2158273381294964
bow,0.19444444444444445,0.2158273381294964
bow,0.19444444444444445,0.2190247801758593
bow,0.19576719576719576,0.2190247801758593
bow,0.19576719576719576,0.2214228617106315
bow,0.1970899470899471,0.2214228617106315
bow,0.1970899470899471,0.2246203037569944
bow,0.19973544973544974,0.2246203037569944
bow,0.19973544973544974,0.22541966426858512
bow,0.20502645502645503,0.22541966426858512
bow,0.20502645502645503,0.2270183852917666
bow,0.20634920634920634,0.2270183852917666
bow,0.20634920634920634,0.22861710631494805
bow,0.20767195767195767,0.22861710631494805
bow,0.20767195767195767,0.22941646682653877
bow,0.20899470899470898,0.22941646682653877
bow,0.20899470899470898,0.2302158273381295
bow,0.21031746031746032,0.2302158273381295
bow,0.21031746031746032,0.23341326938449242
bow,0.21296296296296297,0.23341326938449242
bow,0.21296296296296297,0.23501199040767387
bow,0.21428571428571427,0.23501199040767387
bow,0.21428571428571427,0.23820943245403678
