model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,mean_test_score,std_test_score,rank_test_score
logreg,0.09475336074829102,0.008418970214986547,0.004070425033569336,0.002312667200726849,"{'C': 0.01, 'l1_ratio': 0.0}",0.5357614174557914,0.014724921745135133,7
logreg,0.03501005172729492,0.01098994826175567,0.00225977897644043,0.0005551142616214809,"{'C': 0.01, 'l1_ratio': 1.0}",0.5,0.0,10
logreg,0.15004782676696776,0.005522659917990886,0.0018808841705322266,0.0003123874826706284,"{'C': 0.1, 'l1_ratio': 0.0}",0.5380030997045028,0.010044383970785806,3
logreg,0.037634754180908205,0.018026069667258355,0.0018825054168701172,0.00023166054570685377,"{'C': 0.1, 'l1_ratio': 1.0}",0.5092314567182571,0.011565567887867681,9
logreg,0.31928024291992185,0.026089529174524236,0.002612018585205078,0.0004332297066490952,"{'C': 1, 'l1_ratio': 0.0}",0.5356236657567595,0.008732186494991195,8
logreg,0.6526925563812256,0.02761164625048187,0.0017229557037353516,0.0002716402219681399,"{'C': 1, 'l1_ratio': 1.0}",0.536171704124125,0.007362673559610558,6
logreg,0.6116667270660401,0.015184643867130133,0.0017146587371826172,0.0001744540789550838,"{'C': 10, 'l1_ratio': 0.0}",0.5365163061511977,0.007165484823353932,5
logreg,1.7615046501159668,0.12418312125405354,0.001856517791748047,0.00024365092876268087,"{'C': 10, 'l1_ratio': 1.0}",0.5366528266925032,0.00635453319416334,4
logreg,0.9420678615570068,0.06245840587392349,0.0018215179443359375,0.0003333644589155058,"{'C': 100, 'l1_ratio': 0.0}",0.5393687000163192,0.0072631700660715625,2
logreg,2.2482223987579344,0.1744232024144863,0.001672220230102539,0.00036280067989863537,"{'C': 100, 'l1_ratio': 1.0}",0.5398234550878901,0.0074221271789993775,1
svm_rbf,60.72676692008972,3.770791445352332,1.6495848178863526,0.12801692658433952,"{'C': 0.1, 'gamma': 'scale'}",0.5394116331927623,0.01655260906592589,1
svm_rbf,58.90392446517944,3.8052686628660917,1.371744155883789,0.0828762580422529,"{'C': 0.1, 'gamma': 0.01}",0.5358085379073434,0.018843707453461308,3
svm_rbf,60.22888150215149,2.965802105824287,1.5328850746154785,0.1522463567267279,"{'C': 0.1, 'gamma': 0.001}",0.5357758221820432,0.018850784042921336,5
svm_rbf,56.97220597267151,3.5488985014738015,1.3814599514007568,0.14470269977072445,"{'C': 1, 'gamma': 'scale'}",0.5296592484193753,0.012620731962548445,8
svm_rbf,58.12315378189087,2.6883879738282745,1.3894777297973633,0.11963859235076506,"{'C': 1, 'gamma': 0.01}",0.5358085379073434,0.018843707453461308,3
svm_rbf,56.52343416213989,2.9155195718664624,1.4217527389526368,0.0345636485817745,"{'C': 1, 'gamma': 0.001}",0.5357758221820432,0.018850784042921336,5
svm_rbf,57.55809726715088,2.4012373060630265,1.2391913414001465,0.03183888619961237,"{'C': 10, 'gamma': 'scale'}",0.5127029074693958,0.011023137671485328,9
svm_rbf,56.537623739242555,2.2809244475626036,1.3597608089447022,0.12206230416789501,"{'C': 10, 'gamma': 0.01}",0.5380998706377275,0.009195281219024938,2
svm_rbf,49.62694296836853,10.875973102033564,1.3048130035400392,0.14849744990912073,"{'C': 10, 'gamma': 0.001}",0.5357758221820432,0.018850784042921336,5
random_forest,0.8503544807434082,0.045757770484018113,0.016149044036865234,0.0013991998494958494,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.5184150147237594,0.007446999031881493,21
random_forest,2.30734920501709,0.04683983343102963,0.028869485855102538,0.002966767555400499,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 300}",0.5245732923253541,0.007920534416616672,15
random_forest,3.75583930015564,0.03407064603737605,0.03808827400207519,0.007430850621091836,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 500}",0.5287871797411866,0.010553579002244127,3
random_forest,0.7678194046020508,0.009308136734151632,0.016769599914550782,0.0005985180612357178,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.5246599056479154,0.011437669431563982,13
random_forest,2.364552545547485,0.08717567853851363,0.026227283477783202,0.0006979470289801666,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 300}",0.5254058588912696,0.00694532516790033,9
random_forest,3.907548189163208,0.0817599954493765,0.038295745849609375,0.0004865256474828474,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 500}",0.5290235403765082,0.004149907071762715,2
random_forest,0.8299675464630127,0.04667841047483956,0.014300966262817382,0.00022687862880440377,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.5094121526720874,0.015696129439831612,25
random_forest,2.359861707687378,0.04036659578388831,0.026465606689453126,0.0004139360284121333,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 300}",0.522283408569985,0.009682875296744125,17
random_forest,3.878471279144287,0.03228188806361715,0.038800287246704104,0.0007874755455234986,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 500}",0.5256103771816073,0.007048756957603045,6
random_forest,0.7697883129119873,0.0180722794484936,0.014513731002807617,0.00010422213960981079,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.5156132586384408,0.014338600280805431,23
random_forest,2.4038259506225588,0.14166004034884974,0.026830196380615234,0.0012072361420761898,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 300}",0.5246965072326646,0.015449537095354385,11
random_forest,4.115644454956055,0.4993466402942706,0.0422917366027832,0.004266235005693867,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 500}",0.5269413301455304,0.011742421784022789,5
random_forest,0.7557406902313233,0.027421532640112344,0.014487028121948242,0.00015725710663590744,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.5062028642710306,0.019280090237088987,27
random_forest,2.233657884597778,0.07120359346066553,0.026798582077026366,0.0007189566644928675,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 300}",0.5146863100863159,0.01520431746651734,24
random_forest,3.553696632385254,0.06145213364123603,0.038683414459228516,0.00022634822534331329,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 500}",0.5161568649780235,0.011033139311830174,22
random_forest,0.7344947338104248,0.01833389338691065,0.014429473876953125,0.00012113105507899437,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 100}",0.519215737115734,0.011891543968469503,19
random_forest,2.1132336616516114,0.027972313695453315,0.025919580459594728,0.0008146322155834083,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 300}",0.5231053516130573,0.005659854691373694,16
random_forest,3.5459027767181395,0.040028537911447386,0.03916788101196289,0.0007815569472776949,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 500}",0.5252674000693085,0.009755897341766434,10
random_forest,0.7735493659973145,0.03573146806570821,0.014506816864013672,0.00012202634615674902,"{'max_depth': 50, 'min_samples_split': 2, 'n_estimators': 100}",0.5185352179614757,0.007518482352694772,20
random_forest,2.319542407989502,0.054476904173475074,0.026235246658325197,0.0006336716714218959,"{'max_depth': 50, 'min_samples_split': 2, 'n_estimators': 300}",0.52461561973781,0.007925772807617842,14
