model,embedding,oyez_identifier,n_test_rows,point_auc,ci_lo_95,ci_hi_95
logreg,all-MiniLM-L6-v2,sandra_day_oconnor,3,1.0,,
logreg,all-MiniLM-L6-v2,clarence_thomas,58,0.7304347826086957,0.5878518325290205,0.854570707070707
logreg,all-MiniLM-L6-v2,brett_m_kavanaugh,78,0.6821428571428572,0.5599945652173912,0.8068842148189974
logreg,all-MiniLM-L6-v2,ketanji_brown_jackson,36,0.6346749226006192,0.4155663222226689,0.8179224537037036
logreg,all-MiniLM-L6-v2,amy_coney_barrett,55,0.6218487394957983,0.44014945652173915,0.7813906432748537
logreg,all-MiniLM-L6-v2,samuel_a_alito_jr,231,0.6003940110323089,0.5259155541916014,0.6779509375727929
logreg,all-MiniLM-L6-v2,antonin_scalia,138,0.5938775510204082,0.4865260503447405,0.6948540666266506
logreg,all-MiniLM-L6-v2,john_g_roberts_jr,255,0.5747404844290657,0.5053278235707895,0.647063430635412
logreg,all-MiniLM-L6-v2,john_paul_stevens,74,0.5676470588235294,0.43806588010639025,0.703703068624299
logreg,all-MiniLM-L6-v2,david_h_souter,62,0.5671957671957673,0.41512000462000465,0.7105677464298155
logreg,all-MiniLM-L6-v2,sonia_sotomayor,188,0.5641025641025641,0.48327897523121965,0.6423778430404936
logreg,all-MiniLM-L6-v2,neil_gorsuch,87,0.5368608799048752,0.4038310117302053,0.6634374159268226
logreg,all-MiniLM-L6-v2,elena_kagan,170,0.5272857142857142,0.43730640890175976,0.6108727149879836
logreg,all-MiniLM-L6-v2,anthony_m_kennedy,167,0.5192307692307692,0.4190745005661134,0.616038439330569
logreg,all-MiniLM-L6-v2,ruth_bader_ginsburg,191,0.5155405405405404,0.4313489751161446,0.5959471828808214
logreg,all-MiniLM-L6-v2,stephen_g_breyer,214,0.5049019607843137,0.42741007062933656,0.5758199697268882
