combo_id,embedding_model,classifier,embedding_dim,n_train,n_test,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,fit_time_sec,predict_time_sec
minilm__logreg,all-MiniLM-L6-v2,logreg,384,8032,2007,0.5430991529646239,0.5439933767271897,0.6640471512770137,0.5403677058353318,0.5958572058175408,0.5641624266724187,0.05158954201033339,0.0013190829777158797
minilm__svm_rbf,all-MiniLM-L6-v2,svm_rbf,384,8032,2007,0.5530642750373692,0.5428276426477865,0.6597472924187726,0.5843325339728217,0.6197541331072488,0.5692054821751065,29.417805875011254,3.262016833992675
minilm__random_forest,all-MiniLM-L6-v2,random_forest,384,8032,2007,0.6233183856502242,0.5002616954055803,0.6234413965087282,0.9992006394884093,0.7678132678132679,0.5298121291326727,3.3050161249702796,0.05293362500378862
mpnet__logreg,all-mpnet-base-v2,logreg,768,8032,2007,0.5460886895864474,0.5416809409615165,0.660377358490566,0.5595523581135092,0.6057983556901774,0.5600810357005401,0.06824029103154317,0.001875750022009015
mpnet__svm_rbf,all-mpnet-base-v2,svm_rbf,768,8032,2007,0.5595416043846537,0.5422661870503598,0.6575107296137339,0.6123101518784972,0.6341059602649006,0.5658832722182042,81.80609200004255,6.345416957978159
mpnet__random_forest,all-mpnet-base-v2,random_forest,768,8032,2007,0.6208271051320379,0.4980015987210232,0.6223776223776224,0.9960031974420464,0.7660620965262834,0.5523390811160596,4.620277166948654,0.052367958007380366
