model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,mean_test_score,std_test_score,rank_test_score
logreg,1.5098416805267334,0.02104773127181903,0.3436125755310059,0.00658544518649311,"{'clf__C': 0.01, 'clf__l1_ratio': 0.0, 'vect__max_df': 0.9, 'vect__min_df': 2, 'vect__ngram_range': (1, 1)}",0.5392753723143882,0.021841932933998165,7
logreg,2.9464795112609865,0.03480291949741751,0.5202524185180664,0.010383303109122595,"{'clf__C': 0.01, 'clf__l1_ratio': 0.0, 'vect__max_df': 0.9, 'vect__min_df': 2, 'vect__ngram_range': (1, 2)}",0.5365833352704218,0.023191906854858387,17
logreg,4.09545259475708,0.07101988488078546,0.6547049522399903,0.028646944538025427,"{'clf__C': 0.01, 'clf__l1_ratio': 0.0, 'vect__max_df': 0.9, 'vect__min_df': 2, 'vect__ngram_range': (1, 3)}",0.5363038921019252,0.02320963326123865,21
logreg,1.6189783573150636,0.05628931187363271,0.36213226318359376,0.017170330171029997,"{'clf__C': 0.01, 'clf__l1_ratio': 0.0, 'vect__max_df': 0.9, 'vect__min_df': 5, 'vect__ngram_range': (1, 1)}",0.5395655979093137,0.021721627653547848,5
logreg,2.416455841064453,0.05100990847216821,0.46885480880737307,0.012541173330299677,"{'clf__C': 0.01, 'clf__l1_ratio': 0.0, 'vect__max_df': 0.9, 'vect__min_df': 5, 'vect__ngram_range': (1, 2)}",0.5361867149073984,0.02291403237052213,23
logreg,3.2603798389434813,0.057785442449482825,0.5823685646057128,0.02651428333653279,"{'clf__C': 0.01, 'clf__l1_ratio': 0.0, 'vect__max_df': 0.9, 'vect__min_df': 5, 'vect__ngram_range': (1, 3)}",0.5358411846808722,0.022885497657667998,27
logreg,1.4463454723358153,0.008107298121146661,0.3299715518951416,0.006759257546408325,"{'clf__C': 0.01, 'clf__l1_ratio': 0.0, 'vect__max_df': 0.95, 'vect__min_df': 2, 'vect__ngram_range': (1, 1)}",0.5392753723143882,0.021841932933998165,7
logreg,2.6554789543151855,0.02528347044716671,0.48200373649597167,0.009553651619633046,"{'clf__C': 0.01, 'clf__l1_ratio': 0.0, 'vect__max_df': 0.95, 'vect__min_df': 2, 'vect__ngram_range': (1, 2)}",0.5365833352704218,0.023191906854858387,17
logreg,3.8111824989318848,0.07579264185883122,0.6067775249481201,0.012446921767231006,"{'clf__C': 0.01, 'clf__l1_ratio': 0.0, 'vect__max_df': 0.95, 'vect__min_df': 2, 'vect__ngram_range': (1, 3)}",0.5363038921019252,0.02320963326123865,21
logreg,1.4514723777770997,0.0059439184876971226,0.33223137855529783,0.0040521331594393336,"{'clf__C': 0.01, 'clf__l1_ratio': 0.0, 'vect__max_df': 0.95, 'vect__min_df': 5, 'vect__ngram_range': (1, 1)}",0.5395655979093137,0.021721627653547848,5
logreg,2.3344382286071776,0.06400731430806851,0.47337946891784666,0.026064335861076877,"{'clf__C': 0.01, 'clf__l1_ratio': 0.0, 'vect__max_df': 0.95, 'vect__min_df': 5, 'vect__ngram_range': (1, 2)}",0.5361867149073984,0.02291403237052213,23
logreg,3.5530656814575194,0.09240535103543646,0.632378625869751,0.04741888356496539,"{'clf__C': 0.01, 'clf__l1_ratio': 0.0, 'vect__max_df': 0.95, 'vect__min_df': 5, 'vect__ngram_range': (1, 3)}",0.5358411846808722,0.022885497657667998,27
logreg,0.0836801528930664,0.009506661057017494,0.3405346393585205,0.008808314276239763,"{'clf__C': 0.01, 'clf__l1_ratio': 1.0, 'vect__max_df': 0.9, 'vect__min_df': 2, 'vect__ngram_range': (1, 1)}",0.5,0.0,97
logreg,0.23897967338562012,0.008622300444004026,0.4876407623291016,0.010903858960798658,"{'clf__C': 0.01, 'clf__l1_ratio': 1.0, 'vect__max_df': 0.9, 'vect__min_df': 2, 'vect__ngram_range': (1, 2)}",0.5,0.0,97
logreg,0.27825236320495605,0.003926571397062086,0.5906686782836914,0.021205150827600345,"{'clf__C': 0.01, 'clf__l1_ratio': 1.0, 'vect__max_df': 0.9, 'vect__min_df': 2, 'vect__ngram_range': (1, 3)}",0.5,0.0,97
logreg,0.07081060409545899,0.0020357488309464236,0.336485767364502,0.005840944298625851,"{'clf__C': 0.01, 'clf__l1_ratio': 1.0, 'vect__max_df': 0.9, 'vect__min_df': 5, 'vect__ngram_range': (1, 1)}",0.5,0.0,97
logreg,0.1165238857269287,0.014055187357295263,0.460321044921875,0.021380887775429177,"{'clf__C': 0.01, 'clf__l1_ratio': 1.0, 'vect__max_df': 0.9, 'vect__min_df': 5, 'vect__ngram_range': (1, 2)}",0.5,0.0,97
