model,oyez_identifier,n_test_rows,point_auc,ci_lo_95,ci_hi_95
linear_svc,sandra_day_oconnor,3,1.0,,
linear_svc,brett_m_kavanaugh,78,0.64,0.49784126984126986,0.7813961794019934
linear_svc,anthony_m_kennedy,167,0.6205685618729098,0.5282262705488681,0.7048284225655765
linear_svc,samuel_a_alito_jr,231,0.5977147360126083,0.5174507794660537,0.6694967558157937
linear_svc,david_h_souter,62,0.5756613756613755,0.4172625921375922,0.7195894383394384
linear_svc,john_paul_stevens,74,0.5625,0.42117054693274203,0.6918144863266815
linear_svc,antonin_scalia,138,0.5584183673469388,0.44886925060438637,0.6719710178021348
linear_svc,clarence_thomas,58,0.537888198757764,0.38580823863636365,0.675393675482855
linear_svc,sonia_sotomayor,188,0.5271561771561771,0.44213407652887937,0.6075534214950956
linear_svc,amy_coney_barrett,55,0.5042016806722689,0.3492961711711712,0.6640873015873014
linear_svc,john_g_roberts_jr,255,0.48899653979238755,0.4165067878740753,0.5573363350777095
linear_svc,ruth_bader_ginsburg,191,0.4834459459459459,0.3998501192280398,0.5660157882124511
linear_svc,stephen_g_breyer,214,0.4622926093514329,0.37650263034839215,0.5472351941441062
linear_svc,elena_kagan,170,0.45771428571428574,0.36528214285714283,0.5493267530294378
linear_svc,neil_gorsuch,87,0.4482758620689655,0.3165102905569008,0.5748925830243035
linear_svc,ketanji_brown_jackson,36,0.40557275541795673,0.22283281733746133,0.5976314356151816
