track,prob_predicted,prob_true
bow,0.5835107520488679,0.6080760095011877
bow,0.6319013146749044,0.6270648030495553
bow,0.7060750872296743,0.6666666666666666
embeddings,0.08018068080548589,0.5
embeddings,0.16102034307589752,0.5135135135135135
embeddings,0.2538171145709065,0.5029585798816568
embeddings,0.3517351706986722,0.5744047619047619
embeddings,0.4516213595776905,0.6102449888641426
embeddings,0.5492216730236548,0.6659142212189616
embeddings,0.6471046410132374,0.6450704225352113
embeddings,0.744653789287566,0.727810650887574
embeddings,0.83485536551058,0.6904761904761905
embeddings,0.9169508479237107,1.0
