combo_id,oyez_identifier,n_test_rows,model_accuracy,petitioner_rate_full,n_full_rows,per_justice_baseline,lift_over_baseline
bow_unigram__logreg,amy_coney_barrett,55.0,0.509090909090909,0.640625,256,0.640625,-0.13153409090909096
bow_unigram__logreg,anthony_m_kennedy,167.0,0.592814371257485,0.6706730769230769,832,0.6706730769230769,-0.07785870566559183
bow_unigram__logreg,antonin_scalia,138.0,0.5144927536231884,0.6355810616929699,697,0.6355810616929699,-0.12108830806978155
bow_unigram__logreg,brett_m_kavanaugh,78.0,0.5641025641025641,0.6729222520107239,373,0.6729222520107239,-0.10881968790815977
bow_unigram__logreg,clarence_thomas,58.0,0.5689655172413793,0.6048109965635738,291,0.6048109965635738,-0.03584547932219451
bow_unigram__logreg,david_h_souter,62.0,0.7096774193548387,0.5940959409594095,271,0.5940959409594095,0.1155814783954292
bow_unigram__logreg,elena_kagan,170.0,0.45294117647058824,0.6119909502262444,884,0.6119909502262444,-0.15904977375565615
bow_unigram__logreg,john_g_roberts_jr,255.0,0.596078431372549,0.6627634660421545,1281,0.6627634660421545,-0.06668503466960551
bow_unigram__logreg,john_paul_stevens,74.0,0.581081081081081,0.5542168674698795,332,0.5542168674698795,0.026864213611201504
bow_unigram__logreg,ketanji_brown_jackson,36.0,0.4722222222222222,0.6257309941520468,171,0.6257309941520468,-0.1535087719298246
bow_unigram__logreg,neil_gorsuch,87.0,0.42528735632183906,0.6566820276497696,434,0.6566820276497696,-0.2313946713279305
bow_unigram__logreg,ruth_bader_ginsburg,191.0,0.5287958115183246,0.5824847250509165,982,0.5824847250509165,-0.053688913532591975
bow_unigram__logreg,samuel_a_alito_jr,231.0,0.5324675324675324,0.6038227628149435,1151,0.6038227628149435,-0.07135523034741109
bow_unigram__logreg,sandra_day_oconnor,3.0,1.0,0.5555555555555556,18,0.5555555555555556,0.4444444444444444
bow_unigram__logreg,sonia_sotomayor,188.0,0.5585106382978723,0.6004036326942482,991,0.6004036326942482,-0.04189299439637595
bow_unigram__logreg,stephen_g_breyer,214.0,0.5186915887850467,0.6241860465116279,1075,0.6241860465116279,-0.10549445772658117
bow_unigram__linear_svc,amy_coney_barrett,55.0,0.5454545454545454,0.640625,256,0.640625,-0.09517045454545459
bow_unigram__linear_svc,anthony_m_kennedy,167.0,0.6047904191616766,0.6706730769230769,832,0.6706730769230769,-0.06588265776140023
