fold,n_train,n_test,auc_bow,auc_emb,diff_emb_bow
0,8032,2007,0.532296913791718,0.5691066194663317,0.036809705674613724
1,8032,2007,0.5484268878403826,0.5683018428792079,0.019874955038825304
2,8034,2005,0.5633808634208954,0.581367739694401,0.017986876273505592
3,8026,2013,0.508745732890522,0.5198023344403615,0.011056601549839451
4,8032,2007,0.5500898639022315,0.5339863372997644,-0.016103526602467055
